country,year,indicator,value
SS,1973,population,3627383.0
SS,1972,population,3542497.0
SS,1971,population,3468646.0
SS,1970,population,3409614.0
SS,1969,population,3365533.0
SS,1968,population,3321528.0
SS,1967,population,3277648.0
SS,1966,population,3236423.0
SS,1965,population,3189835.0
SS,1964,population,3129918.0
SS,1963,population,3072669.0
SS,1962,population,3024308.0
SS,1961,population,2976724.0
SS,1960,population,2931559.0
ET,2024,gdp,149740297952.986
ET,2023,gdp,135874093202.492
ET,2022,gdp,123140304666.0
ET,2021,gdp,109070960371.859
ET,2020,gdp,98676811061.4035
ET,2019,gdp,91834517112.628
ET,2018,gdp,83337901071.9697
ET,2017,gdp,76366081766.6667
ET,2016,gdp,68475871209.607
ET,2015,gdp,62103418181.8182
ET,2014,gdp,55612228233.5179
ET,2013,gdp,47648276605.0123
ET,2012,gdp,43310721414.0829
ET,2011,gdp,31952763089.33
ET,2010,gdp,29933790334.3418
ET,2009,gdp,32437389116.038
ET,2008,gdp,27066912635.2228
ET,2007,gdp,19707616772.7996
ET,2006,gdp,15280861834.6024
ET,2005,gdp,12401139453.9738
